seed,policy_mode,use_hysteresis,steps,fault_events,transitions,transitions_per_hour,nominal_pct,throttle_pct,safe_pct,recover_pct,safe_segments,safe_mean_duration_steps,power_min,power_max,temp_min,temp_max,flapping_index,experiment
46,rule_based,False,240.0,5.0,29.0,7.25,62.916666666666664,31.666666666666668,1.25,4.166666666666667,2.0,1.5,58.0648491837956,142.50088439142286,15.98326458105728,27.50564484302803,4.833333333333333,exp_minor
47,rule_based,False,240.0,5.0,30.0,7.5,61.25,30.0,1.6666666666666667,7.083333333333333,4.0,1.0,57.233563296413394,142.79692795125564,15.857515979271703,28.096455996140786,5.0,exp_minor
48,rule_based,False,240.0,8.0,32.0,8.0,60.0,25.833333333333332,2.5,11.666666666666666,6.0,1.0,57.007530709134954,141.21331843532192,16.077151249926423,27.58800725205919,3.5555555555555554,exp_minor
49,rule_based,False,240.0,2.0,26.0,6.5,61.666666666666664,24.583333333333332,4.166666666666667,9.583333333333334,6.0,1.6666666666666667,55.51223199750699,144.2103337992067,16.12881586661562,28.262751619309366,8.666666666666666,exp_minor
50,rule_based,False,240.0,7.0,44.0,11.0,58.75,30.416666666666668,3.3333333333333335,7.5,6.0,1.3333333333333333,56.73560345849799,144.7379442264297,14.966383849802316,28.360637756647204,5.5,exp_minor
51,rule_based,False,240.0,8.0,39.0,9.75,58.333333333333336,28.75,3.3333333333333335,9.583333333333334,6.0,1.3333333333333333,56.50094329492133,141.7425240732414,16.316409276562954,29.36777197494358,4.333333333333333,exp_minor
52,rule_based,False,240.0,7.0,27.0,6.75,59.166666666666664,38.333333333333336,0.4166666666666667,2.0833333333333335,1.0,1.0,60.06410795159913,142.3672930849336,16.305068894431543,27.505673048093538,3.375,exp_minor
53,rule_based,False,240.0,6.0,28.0,7.0,62.916666666666664,30.416666666666668,1.25,5.416666666666667,3.0,1.0,58.23093161536585,142.90416291802367,15.261214287728102,28.333272587387107,4.0,exp_minor
54,rule_based,False,240.0,8.0,45.0,11.25,59.166666666666664,28.75,2.5,9.583333333333334,5.0,1.2,51.19087815387715,143.13404754961732,15.054709540107854,27.89794044479904,5.0,exp_minor
55,rule_based,False,240.0,9.0,45.0,11.25,57.5,25.416666666666668,3.75,13.333333333333334,8.0,1.125,57.036285534512515,143.13554610909952,16.00458855975205,28.28842487434417,4.5,exp_minor
56,rule_based,False,240.0,4.0,40.0,10.0,63.333333333333336,25.416666666666668,2.5,8.75,5.0,1.2,53.641082773170226,141.01459782885848,14.688864906932427,27.847604363147866,8.0,exp_minor
57,rule_based,False,240.0,7.0,28.0,7.0,59.166666666666664,32.5,2.0833333333333335,6.25,3.0,1.6666666666666667,57.92726984570352,141.80401414495,15.804672396935079,27.80282312829259,3.5,exp_minor
58,rule_based,False,240.0,5.0,32.0,8.0,60.0,27.916666666666668,3.3333333333333335,8.75,6.0,1.3333333333333333,52.82538033038162,144.505885774877,16.218510754463953,27.931665809569484,5.333333333333333,exp_minor
59,rule_based,False,240.0,2.0,24.0,6.0,63.333333333333336,26.25,2.0833333333333335,8.333333333333334,4.0,1.25,53.16154686647779,141.20409507361106,16.509148869711595,27.293737369262193,8.0,exp_minor
60,rule_based,False,240.0,3.0,26.0,6.5,63.75,30.833333333333332,1.25,4.166666666666667,2.0,1.5,58.399293745494575,142.94726778902404,17.1434063932158,27.481695572990226,6.5,exp_minor
61,rule_based,False,240.0,5.0,39.0,9.75,60.416666666666664,28.333333333333332,2.9166666666666665,8.333333333333334,7.0,1.0,55.68848947621565,147.61347307021836,16.70132356586259,27.172766246931072,6.5,exp_minor
62,rule_based,False,240.0,6.0,40.0,10.0,57.083333333333336,25.833333333333332,4.583333333333333,12.5,7.0,1.5714285714285714,57.58981836663217,141.67896301723914,15.289018275740347,28.901823678567695,5.714285714285714,exp_minor
63,rule_based,False,240.0,5.0,32.0,8.0,63.75,23.75,3.75,8.75,5.0,1.8,57.76900074115176,143.85353269656437,15.876102400199343,27.95531721990649,5.333333333333333,exp_minor
64,rule_based,False,240.0,7.0,37.0,9.25,59.166666666666664,28.75,2.9166666666666665,9.166666666666666,6.0,1.1666666666666667,56.51050432322458,141.26717150898543,16.144967080186085,27.9472929618052,4.625,exp_minor
65,rule_based,False,240.0,7.0,34.0,8.5,61.25,28.75,2.5,7.5,5.0,1.2,57.31651013692526,143.58361885519741,16.437769481389267,27.90823778656966,4.25,exp_minor
66,rule_based,False,240.0,5.0,33.0,8.25,62.916666666666664,24.166666666666668,3.75,9.166666666666666,8.0,1.125,54.12214651853253,142.17716063748347,15.885174496763675,27.063389435240165,5.5,exp_minor
67,rule_based,False,240.0,4.0,31.0,7.75,60.416666666666664,31.25,1.6666666666666667,6.666666666666667,4.0,1.0,58.750586488764114,142.4748847353808,15.828703845322664,28.64777321404686,6.2,exp_minor
68,rule_based,False,240.0,8.0,26.0,6.5,60.416666666666664,30.833333333333332,2.0833333333333335,6.666666666666667,4.0,1.25,56.45245593102942,143.30780900283338,16.294276089310962,28.57796154248909,2.888888888888889,exp_minor
69,rule_based,False,240.0,5.0,31.0,7.75,64.16666666666667,25.416666666666668,3.3333333333333335,7.083333333333333,6.0,1.3333333333333333,54.898896100856746,139.81250619620673,16.29582565398869,27.362208271981824,5.166666666666667,exp_minor
70,rule_based,False,240.0,7.0,35.0,8.75,61.666666666666664,31.25,2.0833333333333335,5.0,4.0,1.25,56.23046713797298,144.46807240030483,15.846335606836767,27.267147867253705,4.375,exp_minor
71,rule_based,False,240.0,3.0,30.0,7.5,61.25,28.333333333333332,2.0833333333333335,8.333333333333334,4.0,1.25,58.154053760216996,138.72524884328115,16.071422040659165,28.266775330329562,7.5,exp_minor
